,FUENTES_FINANCIACION,PERSONAS_A_CARGO,DIFICULTAD_PAGO_MATRICULA,TURNO_TRABAJO_ESTUDIO,TIPO_VIVIENDA_RESIDENCIA,ZONA_VIVIENDA_RESIDENCIA,VIVE_PADRES_FAMILIAR,SISBEN,NUM_HIJOS,VIVE_PERSONAS_MAYORES,VIVE_PERSONAS_PATOLOGIAS,VICTIMA_VIOLENCIA,FRECUENCIA_USO_CANALES_ATENCION,ORIENTACION_CAT,COMUNA,NIV_EDUCATIVO_PADRE_CAT,NIV_EDUCATIVO_MADRE_CAT,ES_VULNERABLE,ES_GRUPO_ETNICO,GRUPO_ETNICO_CAT,HORAS_FUERA_CASA,RECURSOS_TECNOLOGICOS,HERMANOS_CAT,CARGA_LABORAL,CARGA_HOGAR,CONDICION_DISCAPACIDAD,HABITOS_RIESGO,IMC_CAT,CIENCIAS BÁSICAS_bin,CIENCIAS BÁSICAS DE INGENIERÍA_bin,INGENIERÍA APLICADA_bin,INSTITUCIONAL_bin
350,Otro / No aplica,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,No,0,No,No,No,Frecuentemente,Heterosexual,Comuna Sur Oriental,Media,Superior,No,No,No étnico,ALTO,SIN_RECURSOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,SOBREPESO,3–3.99,3–3.99,4–5,4–5
521,Otro / No aplica,SIN_CARGAS,No,Mixto,Arrendada,Zona urbana,Si,Si,0,No,No,No,Frecuentemente,Heterosexual,Comuna Centro,Media,Media,Sí,No,No étnico,ALTO,BASICOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,SIN,NINGUNO,NORMAL,3–3.99,4–5,4–5,4–5
200,Recursos propios,SIN_CARGAS,No,Nocturno,Arrendada,Zona urbana,Si,No,0,No,No,No,Casi nunca,Heterosexual,Comuna Occidental,Superior,Superior,No,No,No étnico,MEDIO,COMPLETOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,BAJO,BAJO_PESO,3–3.99,3–3.99,3–3.99,3–3.99
703,Otro / No aplica,SIN_CARGAS,No,Mixto,Propia pagada,Zona urbana,Si,No,0,No,No,No,Frecuentemente,Heterosexual,Comuna Oriental,Básica,Básica,No,No,No étnico,MEDIO,COMPLETOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,SIN,NINGUNO,NORMAL,Sin nota,3–3.99,3–3.99,3–3.99
675,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona rural,Si,No,0,No,Sí,No,Con poca frecuencia,Heterosexual,Municipios Aledaños,Superior,Superior,No,No,No étnico,ALTO,COMPLETOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,SIN,NINGUNO,BAJO_PESO,Sin nota,4–5,3–3.99,4–5
481,Recursos propios,SIN_CARGAS,No,Diurno,Propia pagada,Zona urbana,Si,No,0,Si,No,No,Con poca frecuencia,Heterosexual,Comuna Oriental,Media,Media,No,No,No étnico,BAJO,BASICOS,NINGUNO,NO_TRABAJA,CON_NINOS_1_2,SIN,NINGUNO,SOBREPESO,3–3.99,3–3.99,3–3.99,4–5
147,Otro / No aplica,CON_CARGAS,Si,Diurno,Arrendada,Zona urbana,Si,Si,1,No,No,No,Con poca frecuencia,No responde,Bogota,Básica,Básica,Sí,No,No étnico,BAJO,BASICOS,VARIOS_3_MAS,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,SOBREPESO,3–3.99,4–5,4–5,4–5
658,Otro / No aplica,SIN_CARGAS,Si,Mixto,Arrendada,Zona urbana,Si,Si,0,Si,Sí,No,Frecuentemente,No responde,Comuna Occidental,Superior,Superior,Sí,No,No étnico,ALTO,COMPLETOS,NINGUNO,NO_TRABAJA,HOGAR_SIN_NINOS,SIN,NINGUNO,NORMAL,4–5,4–5,4–5,4–5
179,Otro / No aplica,CON_CARGAS,Si,Nocturno,Arrendada,Zona rural,No,No,0,Si,No,Si,Nunca,No responde,Sin agrupar,Básica,Básica,Sí,No,No étnico,ALTO,BASICOS,VARIOS_3_MAS,PARCIAL_1_20,DESCONOCIDO,COGNITIVA,BAJO,NORMAL,3–3.99,3–3.99,3–3.99,3–3.99
384,Recursos propios,CON_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,No,0,No,No,No,Con poca frecuencia,No responde,Bogota,Media,Media,No,No,No étnico,BAJO,COMPLETOS,NINGUNO,NO_TRABAJA,SOLO_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,4–5,3–3.99,2–2.99,3–3.99
