,DESERTA
350,0
521,0
200,0
703,0
675,0
481,0
147,0
658,0
179,0
384,1
570,0
724,0
292,0
416,1
631,0
181,1
381,1
148,0
611,0
417,0
215,1
619,0
82,1
418,0
497,0
185,1
228,1
253,0
566,0
34,0
689,0
128,1
288,0
528,0
618,0
9,0
27,0
690,0
365,1
522,0
552,0
112,0
284,0
457,0
697,0
199,0
456,0
154,1
504,0
331,0
252,0
232,0
10,0
739,0
63,0
173,1
80,0
654,0
633,0
52,0
349,0
24,0
523,0
434,0
414,0
465,0
583,0
426,0
403,0
641,0
476,0
468,0
369,0
224,0
450,0
441,0
269,0
502,0
212,0
105,0
320,0
321,0
421,0
59,0
431,0
726,0
635,0
458,0
197,0
554,0
254,0
727,0
564,0
475,0
565,0
737,0
636,0
382,1
73,0
650,0
420,0
250,0
736,0
67,0
308,0
193,0
472,0
180,1
492,0
347,1
378,0
57,1
512,0
698,0
540,0
96,0
545,0
397,1
674,0
694,0
630,0
402,0
302,0
428,0
248,0
514,0
581,0
542,0
20,0
316,0
555,0
507,0
432,0
81,1
757,0
282,0
525,0
407,0
221,0
710,0
186,1
510,0
601,0
132,0
687,0
237,0
609,0
442,0
438,0
68,0
235,0
595,0
61,0
380,1
19,0
335,0
271,0
175,1
255,0
761,0
449,0
291,0
695,0
192,0
745,0
97,0
91,1
491,1
732,0
706,0
733,0
194,0
640,0
395,0
693,0
70,1
230,1
699,0
469,0
691,0
617,0
758,0
324,0
614,0
48,1
592,0
139,0
295,0
328,0
338,0
309,0
202,1
632,0
131,0
704,0
647,0
246,1
337,1
164,0
589,0
58,0
588,0
300,0
371,0
280,0
266,0
159,0
453,0
539,0
532,0
409,0
62,1
748,0
645,0
205,0
33,0
603,0
25,0
0,0
536,0
625,0
669,0
92,0
211,1
79,0
231,0
190,1
351,0
487,0
28,1
184,0
329,0
140,0
524,0
209,1
696,0
75,0
533,0
168,0
602,0
188,0
700,0
99,0
584,0
535,0
219,0
143,0
53,0
547,0
8,0
543,0
451,0
367,0
12,1
275,1
735,0
151,0
101,0
74,0
363,0
422,0
673,0
7,1
23,0
5,0
333,0
35,0
429,0
198,0
399,0
483,0
466,0
268,0
76,0
64,1
394,1
653,0
256,1
408,0
214,1
670,0
311,1
364,0
239,1
435,0
723,0
234,0
16,0
742,0
206,0
627,0
506,0
265,0
489,0
623,0
285,0
217,0
692,0
327,0
419,0
183,0
71,0
240,0
310,0
273,0
98,0
400,0
741,0
685,0
342,0
580,0
643,0
498,0
362,1
424,1
322,1
315,1
54,1
135,0
463,0
546,0
142,0
680,0
587,0
377,0
639,0
103,0
46,0
286,0
750,0
738,0
423,0
174,1
241,0
325,0
411,0
379,1
332,0
413,0
459,0
572,0
279,0
392,1
585,0
366,0
571,0
518,0
485,0
721,0
267,0
176,0
644,0
106,0
676,0
195,0
281,0
715,0
752,0
220,0
531,0
289,0
233,0
118,0
278,0
681,0
659,0
355,1
511,0
296,1
115,0
470,0
671,0
649,0
527,0
551,0
372,1
621,0
538,0
323,0
740,0
249,0
314,0
196,0
454,0
460,0
100,0
569,0
608,0
712,0
660,0
440,0
672,0
162,0
360,1
36,0
684,0
187,0
144,0
155,0
500,0
448,0
478,0
616,0
596,0
77,0
530,0
509,0
729,0
628,0
396,1
182,0
111,1
605,0
150,0
634,0
714,0
519,0
216,0
707,0
682,0
553,0
447,0
406,0
701,0
345,0
336,0
686,0
665,0
731,0
17,1
41,0
415,0
317,0
652,0
477,0
251,0
352,0
496,0
50,0
471,0
32,1
462,0
287,0
123,0
344,1
513,0
375,0
126,0
549,0
579,0
2,0
404,0
683,0
393,1
189,0
464,0
13,1
127,1
94,0
260,0
501,0
598,0
120,0
11,0
755,0
541,0
203,0
170,0
243,0
548,0
299,0
83,0
387,0
261,0
294,1
615,0
146,0
620,0
245,0
37,1
582,0
534,0
42,0
725,0
651,0
433,0
452,0
161,0
89,0
238,0
303,0
443,1
163,0
713,0
544,0
445,0
225,0
743,0
88,0
558,0
720,0
516,0
376,0
87,0
559,0
227,0
386,0
385,0
223,0
141,0
517,0
624,0
40,0
361,1
236,0
597,0
390,1
461,0
134,0
709,0
354,0
708,0
124,1
137,1
346,0
719,0
65,0
18,0
4,1
166,0
107,0
646,0
642,0
330,0
356,1
69,0
172,0
401,0
495,0
270,1
51,0
484,0
108,0
149,1
226,0
613,0
574,0
357,1
637,0
629,0
298,0
754,0
749,0
398,0
156,0
56,0
705,0
152,0
90,0
747,0
482,0
567,0
31,1
760,0
213,0
3,1
102,0
575,0
728,0
341,0
293,0
753,0
93,1
259,0
116,0
264,0
373,0
425,0
455,0
158,1
526,0
389,0
38,0
358,0
505,0
229,0
638,0
550,0
44,0
599,0
177,0
160,0
85,0
388,1
169,0
474,0
734,0
730,0
313,0
334,0
26,0
436,0
276,1
678,0
15,1
121,0
283,0
590,0
114,0
